year	amnh_amcc_tissue	sample_code	used_for_species_delimitation	host_family	host_genus	host_species	host_genus_species	host_weight	host_sex	site	site_lat	site_long	leuco_lin_1	leuco_lin_2	tissue_or_blood	leuco_morphotype
2016	243782	PRS4442		Parulidae	Setophaga	petechia	Setophaga_petechia	8.3	M	Denali2	63.03881	-147.00372	CB1	SETPET03	blood	
2016	243783	PRS4443		Phylloscopidae	Phylloscopus	borealis	Phylloscopus_borealis	9	U	Denali2	63.03881	-147.00372			blood	
2016	243785	PRS4444		Emberizidae	Zonotrichia	leucophrys	Zonotrichia_leucophrys	22.4	F	Denali2	63.03881	-147.00372	CB1	cannot_parse	blood	
2016	243787	PRS4445		Fringillidae	Acanthis	flammea	Acanthis_flammea	12.4	F	Denali2	63.03881	-147.00372			blood	
2016	243788	PRS4446		Emberizidae	Spizella	arborea	Spizella_arborea	14.4	F	Denali2	63.03881	-147.00372	ZOLEU02		blood	
2016	243790	PRS4447		Fringillidae	Acanthis	flammea	Acanthis_flammea	13.5	M	Denali2	63.03881	-147.00372	LOXLEU04	TRPIP2	blood	
2016	243791	PRS4448	yes	Fringillidae	Acanthis	flammea	Acanthis_flammea	13.2	M	Denali2	63.07621	-146.22423	ROFI06		blood	fringillinarum
2016	243796	PRS4450	yes	Turdidae	Catharus	minimus	Catharus_minimus	30.2	M	Denali3	63.07621	-146.22423	CATGUT02		blood	majoris
2016	243797	PRS4451		Emberizidae	Passerculus	sandwichensis	Passerculus_sandwichensis	16.7	M	Denali3	63.07621	-146.22423			tissue	
2016	243801	PRS4452	yes	Turdidae	Catharus	minimus	Catharus_minimus	28.9	F	Denali3	63.07621	-146.22423	CATMIN01		blood	dubreuili
2016	243802	PRS4453		Parulidae	Setophaga	striata	Setophaga_striata	12.4	M	Denali3	63.07621	-146.22423	CNEORN01		blood	
2016	243804	PRS4454		Fringillidae	Acanthis	flammea	Acanthis_flammea	11.1	M	Denali3	63.07621	-146.22423	PERCAN01		blood	
2016	243805	PRS4455		Fringillidae	Acanthis	flammea	Acanthis_flammea	12.3	M	Denali3	63.07621	-146.22423	ROFI06	TRPIP2	blood	
2016	243809	PRS4456	yes	Fringillidae	Acanthis	flammea	Acanthis_flammea	10.8	M	Denali3	63.07621	-146.22423	ACAFLA03		blood	fringillinarum
2016	243810	PRS4457	yes	Motacillidae	Anthus	rubescens	Anthus_rubescens	19.8	M	Denali3	63.07621	-146.22423	CATUST14		blood	no_smear
2016	243813	PRS4458	yes	Fringillidae	Acanthis	flammea	Acanthis_flammea	11.4	U	Denali3	63.07621	-146.22423	ROFI06		blood	fringillinarum
2016	243814	PRS4459		Emberizidae	Passerculus	sandwichensis	Passerculus_sandwichensis	18.3	M	Denali3	63.07621	-146.22423	CB1	ZOLEU02	blood	
2016	243815	PRS4460		Motacillidae	Anthus	rubescens	Anthus_rubescens	19.6	M	Denali3	63.07621	-146.22423	ANTRUB01	TRPIP2	blood	
2016	243817	PRS4461		Motacillidae	Anthus	rubescens	Anthus_rubescens	17.8	U	Denali3	63.07621	-146.22423	CATUST14	CB1	blood	
2016	243854	SCG215		Parulidae	Setophaga	coronata	Setophaga_coronata	12.3	M	Steese1	65.23043	-146.94366			blood	
2016	243856	SCG216		Emberizidae	Junco	hyemalis	Junco_hyemalis	19.3	M	Steese1	65.23043	-146.94366	CB1	ZOLEU02	blood	
2016	243858	SCG217		Turdidae	Catharus	ustulatus	Catharus_ustulatus	25.8	M	Steese1	65.23043	-146.94366	CATUST09	CATUST27	blood	
2016	248860	SCG218		Tyrannidae	Empidonax	flaviventris	Empidonax_flaviventris	10.1	F	Steese1	65.23043	-146.94366			blood	
2016	243862	SCG219		Turdidae	Catharus	ustulatus	Catharus_ustulatus	25.6	F	Steese1	65.23043	-146.94366	CATUST09	CATUST26	blood	
2016	243864	SCG220	yes	Emberizidae	Melospiza	lincolnii	Melospiza_lincolnii	14.5	M	Steese1	65.23043	-146.94366	ZOLEU02		blood	fringillinarum
2016	243866	SCG221		Emberizidae	Zonotrichia	leucophrys	Zonotrichia_leucophrys	23.5	M	Steese1	65.23043	-146.94366			blood	
2016	243868	SCG222		Parulidae	Oreothlypis	celata	Oreothlypis_celata	8	M	Steese1	65.23043	-146.94366			blood	
2016	243871	SCG223	yes	Parulidae	Cardellina	pusilla	Cardellina_pusilla	6.5	M	Steese1	65.23043	-146.94366	CNEORN01		blood	fringillinarum
2016	243873	SCG224		Emberizidae	Junco	hyemalis	Junco_hyemalis	15.4	M	Steese1	65.23043	-146.94366	CB1		blood	
2016	243874	SCG225		Emberizidae	Zonotrichia	leucophrys	Zonotrichia_leucophrys	21.9	M	Steese1	65.23043	-146.94366	BT4	CNEORN01	blood	
2016	243876	SCG226		Turdidae	Catharus	ustulatus	Catharus_ustulatus	28.2	M	Steese1	65.23043	-146.94366	CATMIN05	CATUST09	blood	
2016	243878	SCG227		Emberizidae	Melospiza	lincolnii	Melospiza_lincolnii	14.5	M	Steese1	65.23043	-146.94366	ACAFLA03	ZOLEU02	blood	
2016	243879	SCG228		Emberizidae	Melospiza	lincolnii	Melospiza_lincolnii	14.6	U	Steese1	65.23043	-146.94366	CB1	ZOLEU02	blood	
2016	243881	SCG229		Emberizidae	Junco	hyemalis	Junco_hyemalis	16.3	U	Steese1	65.23043	-146.94366			blood	
2016	243882	SCG230	yes	Emberizidae	Zonotrichia	leucophrys	Zonotrichia_leucophrys	22.2	F	Steese1	65.23043	-146.94366	ZOLEU04		blood	fringillinarum
2016	243884	SCG231	yes	Parulidae	Setophaga	townsendi	Setophaga_townsendi	9	F	Steese2	65.163393	-147.321237	CNEORN01		blood	fringillinarum
2016	243885	SCG232		Emberizidae	Junco	hyemalis	Junco_hyemalis	17.5	F	Steese2	65.163393	-147.321237	CB1	ZOLEU02	blood	
2016	243887	SCG233	yes	Parulidae	Setophaga	coronata	Setophaga_coronata	12.1	F	Steese2	65.163393	-147.321237	PERCAN01		blood	no_smear
2016	243889	SCG234	yes	Paridae	Poecile	hudsonicus	Poecile_hudsonicus	10.7	F	Steese2	65.163393	-147.321237	CB1		blood	majoris
2016	243891	SCG235		Parulidae	Setophaga	townsendi	Setophaga_townsendi	9.4	M	Steese2	65.163393	-147.321237	CB1	CNEORN01	blood	
2016	243893	SCG236		Turdidae	Catharus	ustulatus	Catharus_ustulatus	29.1	F	Steese2	65.163393	-147.321237	CATUST09	CATUST25	blood	
